Mission,Protection,FineTuning,ErrorModel,ErrorRate,Accuracy,BaselineAccuracy,AccuracyPreservation,TotalBits,FlippedBits,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,CorrectionEffectiveness,MemoryOverhead,ExecutionTime
Mars,Adaptive,Basic,RandomMulti,5e-05,0,35,0,20100000,1056,1056,1056,0,1,75,5.47429
Mars,Adaptive,Standard,RandomMulti,5e-05,0,35,0,20100000,1371,1371,1350,21,0.984683,75,5.47417
Mars,Adaptive,Advanced,RandomMulti,5e-05,0,35,0,20100000,1081,1081,765,316,0.707678,75,11.3603
Solar Probe,None,None,RandomMulti,0.0001,0,35,0,1275000,71,0,0,0,1,0,5.25255
Solar Probe,None,Basic,RandomMulti,0.0001,0,35,0,1275000,80,0,0,0,1,0,5.47889
Solar Probe,None,Standard,RandomMulti,0.0001,0,35,0,1275000,166,0,0,0,1,0,5.24264
Solar Probe,None,Advanced,RandomMulti,0.0001,0,35,0,1275000,138,0,0,0,1,0,5.40985
Solar Probe,Minimal,None,RandomMulti,0.0001,0,35,0,1275000,174,174,138,36,0.793103,10,5.52379
Solar Probe,Minimal,Basic,RandomMulti,0.0001,0,35,0,1275000,129,129,114,15,0.883721,10,6.45291
Solar Probe,Minimal,Standard,RandomMulti,0.0001,0,35,0,1275000,93,93,93,0,1,10,5.63412
Solar Probe,Minimal,Advanced,RandomMulti,0.0001,0,35,0,1275000,291,291,260,31,0.893471,10,6.44219
Solar Probe,Moderate,None,RandomMulti,0.0001,0,35,0,1275000,86,86,74,12,0.860465,50,5.3634
Solar Probe,Moderate,Basic,RandomMulti,0.0001,0,35,0,1275000,139,139,117,22,0.841727,50,5.46945
Solar Probe,Moderate,Standard,RandomMulti,0.0001,0,35,0,1275000,65,65,65,0,1,50,5.33358
Solar Probe,Moderate,Advanced,RandomMulti,0.0001,0,35,0,1275000,110,110,110,0,1,50,5.49639
Solar Probe,High,None,RandomMulti,0.0001,0,35,0,1275000,10,10,10,0,1,100,5.6843
Solar Probe,High,Basic,RandomMulti,0.0001,0,35,0,1275000,121,121,78,43,0.644628,100,5.41331
